offset_days,mean_daily_return,std_across_events,car,car_sd_across_events,car_ci_low,car_ci_high,car_t_stat,car_p_value,car_boot_ci_low,car_boot_ci_high,n_events
37,-0.0016271093639862412,0.007805305533755913,-0.05155478632889643,0.1702344401221628,-0.3224357688283052,0.21932619617051236,-0.6056916131882589,0.5874725886847311,-0.2054325452309446,0.10268277627188585,4
38,-0.004464040321884962,0.01357882077939903,-0.056018826650781395,0.16256285352364522,-0.314692602937132,0.20265494963556924,-0.6891959071404132,0.5402209429183044,-0.19662861085848202,0.09318047556167174,4
39,-0.008543750306462369,0.004893456991281507,-0.06456257695724375,0.16447937553002262,-0.3262859674326898,0.19716081351820225,-0.7850537704097627,0.4897111250258656,-0.20482163247480217,0.08486929113613235,4
40,0.0030929286578949035,0.004409132950269184,-0.06146964829934887,0.16780637972452372,-0.32848704487802155,0.20554774827932382,-0.7326258799011026,0.5168378181729705,-0.20596352891984315,0.09189131060289826,4
41,-0.00045918320990079005,0.01452486509861091,-0.06192883150924966,0.16757020741353237,-0.32857042523866,0.20471276222016066,-0.739138925291424,0.5134022709481345,-0.20133629554646848,0.08427063854989536,4
42,0.012789255529764069,0.02043931457097853,-0.04913957597948561,0.18381707640398146,-0.3416335638044375,0.2433544118454663,-0.5346573554623378,0.6299741889646008,-0.1962332064900772,0.11654857546157733,4
43,0.0039061612845412456,0.015393700026465246,-0.045233414694944366,0.18501388827638,-0.33963179728061343,0.24916496789072473,-0.48897318051467753,0.6583780835726788,-0.19189903543823028,0.11235625092831451,4
44,-0.004589141192053222,0.019760027779241306,-0.04982255588699759,0.16768553748253132,-0.3166476654923948,0.21700255371839966,-0.5942379603510871,0.5941848271164997,-0.18799020088198812,0.09067770983251056,4
45,-0.0001221076069437511,0.01447240577896317,-0.04994466349394133,0.16694599460384696,-0.3155929953484046,0.21570366836052196,-0.5983331748983507,0.5917785844549337,-0.19610334795636022,0.09361174864624996,4
46,-0.008029707677649763,0.010590163096877988,-0.05797437117159111,0.16570355076806068,-0.3216456976286941,0.2056969552855119,-0.6997360153463369,0.5344704038068098,-0.20692940470736187,0.089048627091928,4
47,0.00027311791539841616,0.019954337156707948,-0.0577012532561927,0.16469341351810612,-0.319765225933822,0.20436271942143663,-0.7007111216363139,0.5339408437812914,-0.20392176177814755,0.07609729244202436,4
48,-0.001162264820244393,0.016257487660805918,-0.058863518076437096,0.17072503524124383,-0.3305251468879007,0.21279811073502652,-0.6895710168489316,0.5400154587762989,-0.2010184051809572,0.08011693787497884,4
49,0.001110939290831839,0.017686722085015177,-0.05775257878560526,0.18578289457380642,-0.3533746219962667,0.2378694644250562,-0.6217211645678364,0.5781712989151289,-0.21181879237811518,0.0867328816139799,4
50,0.013784518926426629,0.02584310148961291,-0.04396805985917865,0.1900452564826783,-0.34637247202417576,0.2584363523058184,-0.46271146855155654,0.6750683274083183,-0.19435746011889798,0.105883570460891,4
51,0.0028202252256779347,0.00963587113286549,-0.04114783463350072,0.19900624390081606,-0.357811177448771,0.2755155081817695,-0.41353310154437806,0.7069997730044494,-0.19931231543364267,0.11701664616664126,4
52,-0.015237799352795452,0.01692002969143565,-0.056385633986296174,0.19422584962195563,-0.3654423027462871,0.2526710347736947,-0.5806192542964399,0.6022370406230211,-0.21496460374152543,0.10219333576893308,4
53,0.0004292829839894802,0.009284219145800802,-0.055956351002306705,0.197740444627895,-0.37060552470790775,0.2586928227032943,-0.565957572388436,0.6109916166225523,-0.21568994971735134,0.10377724771273794,4
54,0.010678007954214256,0.03633196852352352,-0.04527834304809246,0.2198869710472043,-0.39516758234269295,0.304610896246508,-0.4118328869823971,0.7081189350637774,-0.22969951028306101,0.13914282418687607,4
55,0.006125112010072933,0.026908452405040795,-0.03915323103801953,0.23412699742027746,-0.41170152999168463,0.33339506791564555,-0.3344614800465426,0.7600494339784708,-0.2375879459802695,0.15928148390423041,4
56,0.0181835075988086,0.018903680710945017,-0.020969723439210927,0.23173725271272458,-0.38971540528531456,0.3477759584068927,-0.1809784416941048,0.8679207076762533,-0.21970588337269825,0.17776643649427643,4
57,-0.002017801711518548,0.011962005962673754,-0.022987525150729472,0.22053762908986133,-0.37391210658725843,0.32793705628579944,-0.20846805368858723,0.8482149968587843,-0.21229481347121165,0.16631976316975272,4
58,0.004920107366525155,0.012425954012500106,-0.018067417784204315,0.23163460466732333,-0.38664976368389203,0.35051492811548335,-0.1559992973429249,0.8859397749955138,-0.21701973428009413,0.1808848987116855,4
59,-0.010556393529062787,0.013680481945721168,-0.0286238113132671,0.22903383379009862,-0.39306775037839814,0.335820127751864,-0.24995268899441125,0.8187625962042675,-0.22648086070150747,0.16923323807497326,4
60,0.003178831759613203,0.0072307203306074515,-0.025444979553653893,0.23133232123094166,-0.39354632505071097,0.3426563659434032,-0.21998637646705566,0.8400011045142645,-0.22553324237383265,0.17464328326652484,4
61,0.015134857395788907,0.028390136578505483,-0.01031012215786499,0.24396847466778457,-0.3985184075639614,0.37789816324823144,-0.08452011819891429,0.9379672430935183,-0.22109737329562734,0.20047712897989736,4
62,0.004528091359982558,0.02120966129717988,-0.005782030797882434,0.2635407072306755,-0.4251341058069417,0.4135700442111769,-0.043879602955011116,0.9677576694549246,-0.23289211928945375,0.22132805769368888,4
63,-0.002003066558727614,0.002665033572519882,-0.007785097356610052,0.2644811268624571,-0.42863358985695915,0.4130633951437391,-0.05887072131735643,0.9567571223548428,-0.23548970417378162,0.21991950946056152,4
64,0.0006578828264757232,0.03370871290744226,-0.007127214530134332,0.29504416901473984,-0.4766083273183646,0.462353898258096,-0.04831286484281118,0.9645033707474029,-0.2594579346930249,0.24520350563275625,4
65,-0.016015306769654566,0.023651726475443603,-0.0231425212997889,0.3061260054425233,-0.5102573087856981,0.4639722661861203,-0.1511960492630152,0.8894157772259879,-0.28489297865287216,0.23860793605329436,4
66,-0.004370469400010732,0.020757379969228766,-0.027512990699799636,0.28937717040893046,-0.4879766441004769,0.4329506627008777,-0.19015315313865241,0.8613285594889504,-0.2762109220660238,0.22118494066642455,4
67,0.0010273286539861396,0.016126806427026488,-0.0264856620458135,0.3031905642741008,-0.5089295075813108,0.4559581834896838,-0.1747129704331367,0.8724308758033669,-0.28625745347306003,0.23328612938143303,4
68,0.0012677642626187685,0.006974069882373956,-0.025217897783194734,0.30152531761089646,-0.5050119642733417,0.4545761687069522,-0.16726885810456013,0.8777979414773613,-0.28409570815854945,0.23365991259215999,4
69,-0.00413834268477031,0.014623212518470851,-0.029356240467965047,0.3138341035555003,-0.5287363321340782,0.47002385119814816,-0.18708126449854431,0.8635340993395636,-0.2986370304590326,0.23992454952310252,4
70,0.0032956287159345878,0.00984469113778203,-0.026060611752030463,0.3183710635735341,-0.5326600192414495,0.48053879573738856,-0.1637121882844183,0.880365375834533,-0.29857911673974,0.2464578932356791,4
71,0.022400027005657245,0.013013488132749433,-0.0036605847463732216,0.3276584754075412,-0.5250383369741843,0.5177171674814379,-0.02234390391898266,0.9835767021803089,-0.2841652371508612,0.27684406765811476,4
72,0.010029054831517507,0.014355297153127139,0.006368470085144282,0.3417224711065088,-0.5373882377175194,0.550125177887808,0.03727276151622668,0.9726090547517948,-0.2857857013061852,0.2985226414764738,4
73,0.002090829985128554,0.021921921588362217,0.008459300070272832,0.36329048131800495,-0.5696169249373395,0.5865355250778852,0.046570447095573723,0.9657823111320111,-0.3015624356564927,0.31848103579703835,4
74,-0.007884939688246214,0.022945003195921045,0.0005743603820266147,0.3832187180882377,-0.6092121363657088,0.6103608571297621,0.002997559121808689,0.9977964831204111,-0.3251245274705514,0.3262732482346047,4
75,-0.008734214863560404,0.03382478869588227,-0.008159854481533793,0.4082192906124954,-0.6577278410591698,0.6414081320961023,-0.039977799526772405,0.9706225443569,-0.3553404060498511,0.3390206970867835,4
76,0.020045310994152524,0.029693282014905877,0.011885456512618728,0.4361592853270256,-0.6821412965394688,0.7059122095647062,0.054500531858250795,0.9599627971521748,-0.35725471907477646,0.38102563210001394,4
77,0.02568254469202047,0.05742009204716603,0.03756800120463921,0.4476528639694967,-0.6747476002900583,0.7498836026993367,0.1678443464943368,0.8773827052442484,-0.3482831817431753,0.4234191841524536,4
78,0.007565964689144614,0.05688624844857484,0.04513396589378382,0.48968573888789885,-0.7340653193431742,0.8243332511307419,0.1843384943016121,0.8655047532564636,-0.37260262637806707,0.4628705581656347,4
79,0.005662580904859275,0.016469491615629956,0.050796546798643094,0.4820983944387383,-0.716329580283742,0.8179226738810282,0.21073103492817363,0.8465991397269866,-0.3620083482677268,0.463601441865013,4
80,0.007484997029360122,0.011818878196770887,0.05828154382800321,0.4827567083254603,-0.7098921075526397,0.8264551952086461,0.2414530666188548,0.8247666182820615,-0.3554279389000866,0.47199102655609304,4
81,-0.003031325323524344,0.01915239904174308,0.055250218504478865,0.48485150271225874,-0.7162567182044619,0.8267571552134196,0.22790573276728734,0.8343694289930491,-0.3617149155565169,0.4722153525654746,4
82,0.006526990583858865,0.02420556443568361,0.061777209088337726,0.49757143294207057,-0.7299699751022686,0.853524393278944,0.24831493529705953,0.8199182053470568,-0.36693562477203123,0.4904900429487067,4
83,0.007466174408965358,0.05985246704744762,0.06924338349730308,0.5075388016519999,-0.7383641085554609,0.876850875550067,0.27285946718525234,0.8026657695812791,-0.36323322602130986,0.501719993015916,4
84,0.014038615767200006,0.006091298858439051,0.08328199926450308,0.5096388248950117,-0.7276670983936271,0.8942310969226333,0.3268275303855024,0.7652734892628541,-0.351344039339785,0.5179080378687911,4
85,0.0022405578667915632,0.01421464801729887,0.08552255713129464,0.5037852409574316,-0.7161121822394256,0.8871572965020149,0.3395198992680337,0.7565972723855172,-0.34487717562766007,0.5159222898902494,4
86,0.030074186787451666,0.028601326725193593,0.1155967439187463,0.5007243123967333,-0.6811673750576082,0.9123608628951008,0.461718119359688,0.6757046814420925,-0.31471957115124316,0.5459130589887358,4
87,-0.009184975196959152,0.01627597126501412,0.10641176872178715,0.493200628366052,-0.6783804900317855,0.8912040274753598,0.4315151384714322,0.6952244102589682,-0.31874388693870986,0.5315674243822841,4
88,-0.006732538934898776,0.010666913799512618,0.09967922978688837,0.49719723144810934,-0.6914725163227737,0.8908309758965505,0.4009645407580735,0.7152962548424928,-0.32830852457184834,0.5276669841456251,4
89,0.007321379112342545,0.011670967431309343,0.10700060889923091,0.508659800586181,-0.7023906426116887,0.9163918604101505,0.4207158056363924,0.7022827574426361,-0.3308763275480482,0.54487754534651,4
90,0.013874435801665032,0.01815228620422375,0.12087504470089594,0.5015628639168146,-0.6772233968688949,0.9189734862706868,0.4819935979986882,0.6627885641466409,-0.30987232483532345,0.5516224142371153,4
91,0.0057496597693997885,0.009972496314095422,0.12662470447029572,0.5074614717158864,-0.680859738397732,0.9341091473383234,0.4990515005686555,0.6520422420078722,-0.3099550511118872,0.5632044600524786,4
92,0.007650249788916155,0.04408383802133293,0.13427495425921188,0.5192421161055503,-0.6919551227146894,0.9605050312331131,0.5171959288137435,0.6407344264394643,-0.30665007666122934,0.5751999851796531,4
93,0.008118838274996602,0.01736415609566105,0.14239379253420847,0.5352908594614619,-0.7093734164384266,0.9941610015068435,0.5320240015959401,0.6315891990459315,-0.3121558432503739,0.5969434283187909,4
94,0.0029794723438213476,0.02903390529574304,0.14537326487802982,0.5326837597216095,-0.7022454666273055,0.9929919963833651,0.5458145183701661,0.6231623694145075,-0.30901617327220454,0.5997627030282642,4
95,-0.005058502779098247,0.006993363724017153,0.14031476209893157,0.5395900635520928,-0.7182934399606479,0.998922964158511,0.5200791177481917,0.6389494224701937,-0.3200450954222081,0.6006746196200712,4
96,0.016844945789538882,0.02820042162019468,0.15715970788847045,0.562682241826983,-0.7381933028870474,1.0525127186639884,0.5586090912632529,0.6154125855213433,-0.320422143976986,0.6347415597539269,4
97,0.03617133204014545,0.047820272032288495,0.1933310399286159,0.5945398142600675,-0.752714477689391,1.1393765575466228,0.6503552337171074,0.5618275375542408,-0.3045998105032623,0.6912618903604941,4
98,0.014193006801243139,0.022275849761661817,0.20752404672985902,0.6162473045524878,-0.7730629320271952,1.1881110254869132,0.6735089799072169,0.5488688824105533,-0.3096730249348014,0.7247211183945195,4
99,-0.01025598523757176,0.014134981096495986,0.19726806149228726,0.6035835209639557,-0.7631680116186489,1.1577041346032235,0.6536562203594937,0.5599659379023597,-0.3079470968537615,0.702483219838336,4
100,-6.256770664691842e-05,0.03124871549672134,0.19720549378564034,0.6276406764417003,-0.8015108821081878,1.1959218696794685,0.6284025277127117,0.5743264661094698,-0.32364316146895755,0.7180541490402382,4
