price_series,horizon,estimation_window,abnormal,return_type,label,n_events,car,ci_low,ci_high,p_value,significant
bitstamp,30,"(-120, -31)",True,simple,bitstamp/30d/simple/abn/-120..-31,4,-0.034257072799603216,-0.2666490531646709,0.19813490756546448,0.6709673879374677,False
stitched,30,"(-120, -31)",True,simple,stitched/30d/simple/abn/-120..-31,4,-0.033812347591343356,-0.2667452125669476,0.1991205173842609,0.6755488309859892,False
bitstamp,30,"(-90, -11)",True,log,bitstamp/30d/log/abn/-90..-11,4,-0.03222894397804804,-0.34673328829263805,0.28227540033654197,0.7657569367574621,False
coinbase,30,"(-120, -31)",True,log,coinbase/30d/log/abn/-120..-31,3,-0.03220550383765214,-0.5483677631186024,0.483956755443298,0.8135004300791314,False
stitched,30,"(-90, -11)",True,log,stitched/30d/log/abn/-90..-11,4,-0.03191425601877321,-0.346538485221059,0.28270997318351254,0.7680261294710107,False
bitstamp,30,"(-250, -31)",True,simple,bitstamp/30d/simple/abn/-250..-31,4,-0.01832254657745708,-0.25783075150279955,0.22118565834788537,0.8233479063973985,False
stitched,30,"(-250, -31)",True,simple,stitched/30d/simple/abn/-250..-31,4,-0.018055444695297122,-0.2577820740763664,0.22167118468577213,0.8260128600221552,False
bitstamp,30,"(-120, -31)",True,log,bitstamp/30d/log/abn/-120..-31,4,-0.014092498500063923,-0.283811293529012,0.25562629652888413,0.8785121551174858,False
stitched,30,"(-120, -31)",True,log,stitched/30d/log/abn/-120..-31,4,-0.013630327872470933,-0.28394849944469297,0.2566878436997511,0.8827079756511308,False
coinbase,30,"(-250, -31)",True,simple,coinbase/30d/simple/abn/-250..-31,3,-0.012721054783254004,-0.47574421910424575,0.4503021095377377,0.9167029165774196,False
bitstamp,30,"(-250, -31)",True,log,bitstamp/30d/log/abn/-250..-31,4,-0.008774983466867364,-0.2570334351298533,0.2394834681961186,0.9175416626075784,False
stitched,30,"(-250, -31)",True,log,stitched/30d/log/abn/-250..-31,4,-0.008473191304022382,-0.2569789152383854,0.24003253263034063,0.920441359413705,False
coinbase,30,"(-250, -31)",True,log,coinbase/30d/log/abn/-250..-31,3,-0.006905239646612761,-0.4885344770425827,0.47472399774935714,0.9564212837610699,False
bitstamp,90,"(-90, -11)",True,simple,bitstamp/90d/simple/abn/-90..-11,4,-0.004780400210809721,-1.1292348088764257,1.119674008454806,0.9900547588992374,False
stitched,90,"(-90, -11)",True,simple,stitched/90d/simple/abn/-90..-11,4,-0.004607625241813379,-1.1290228413280465,1.1198075908444196,0.9904138416600653,False
coinbase,7,"(-90, -11)",True,simple,coinbase/7d/simple/abn/-90..-11,3,-0.0002765133286460539,-0.233750104354448,0.2331970776971559,0.9963967301720184,False
