target,at_the_cap,total_return,cagr,volatility,sharpe,sortino,max_drawdown,calmar,win_rate,days,time_in_market,average_position,turnover_total,turnover_annual,n_position_changes,total_cost
1.4,0.977244620331437,186.59375397615747,0.604076246767109,0.5715402275797947,1.1161544844866573,1.4366214813741596,-0.8127383817358571,0.7432603902339584,0.5254824344383968,4043,0.9997526589166461,0.8203466707957429,2.5847976492627702,0.23335422754907523,5,0.006461994123156926
1.45,0.9812020776651001,188.9983666456165,0.6059217802109151,0.5915023995136298,1.100786714365447,1.4130853606188676,-0.8318705353076481,0.728384711915333,0.5254824344383968,4043,0.9997526589166461,0.8466835908124205,3.2570130295220934,0.29404149289526693,7,0.008142532573805235
1.5,0.9844175117487015,200.0962506544365,0.6141732594995613,0.5982982475054984,1.1036096185041233,1.4225052704764212,-0.8318705353076483,0.7383038987820663,0.5254824344383968,4043,0.9997526589166461,0.8619584463814576,3.1959488855073186,0.288528652785103,7,0.007989872213768297
1.55,0.986396240415533,213.7814976539128,0.6237961240563339,0.6051662925593312,1.1077126635280423,1.4343107940194104,-0.8318705353076482,0.7498716417761295,0.5254824344383968,4043,0.9997526589166461,0.87737415954298,2.5441625064799602,0.22968570736215324,5,0.0063604062661999
1.6,0.9881276279990107,224.30060065439437,0.6308206341289866,0.6118329012963677,1.109322117825351,1.4418571276722982,-0.8318705353076481,0.7583158765151986,0.5254824344383968,4043,0.9997526589166461,0.8924158782206806,2.497200006688991,0.2254459565771659,5,0.006243000016722477
1.65,0.9888696512490724,210.86414787123658,0.621792526476689,0.6027039080451373,1.1077178471789975,1.4315771626725173,-0.8318705353076481,0.7474630968227928,0.5254824344383968,4043,0.9997526589166461,0.8696869382018453,1.8268851861390387,0.16493027280255979,3,0.004567212965347596
1.7,0.9913430620826119,221.52371663537303,0.6289957392623158,0.6087681298648873,1.1099891728657862,1.4397810780068707,-0.8318705353076481,0.7561221519039573,0.5254824344383968,4043,0.9997526589166461,0.8835391203584353,1.8216392826887065,0.16445667528601976,3,0.004554098206721766
1.75,0.9930744496660895,232.4365734462792,0.6360519632603823,0.6149513283322702,1.1120005094060763,1.4474693062645123,-0.8318705353076481,0.7646045102741296,0.5254824344383968,4043,0.9997526589166461,0.8973913025150252,1.8163933792383742,0.16398307776947973,3,0.0045409834480959355
1.8,0.9930744496660895,243.58800833145344,0.6429589825658002,0.6212499509924929,1.1137648328014735,1.4546534703869676,-0.8318705353076481,0.7729075081713487,0.5254824344383968,4043,0.9997526589166461,0.9112434846716152,1.8111474757880421,0.16350948025293977,3,0.004527868689470105
1.85,0.9938164729161514,233.18634616227314,0.6365256740689549,0.6175364231335098,1.11038547681586,1.447211590358904,-0.8318705353076481,0.7651739628373189,0.5254824344383968,4043,0.9997526589166461,0.9027019619270638,1.7674754225118254,0.15956678931902457,3,0.004418688556279564
1.9,0.9945584961662132,243.66482223905757,0.6430055581714513,0.6236071009271854,1.1119445611564878,1.4538297835500564,-0.8318705353076481,0.7729634971788616,0.5254824344383968,4043,0.9997526589166461,0.9159489088160548,1.7611909744716043,0.15899943252093388,3,0.004402977436179011
1.95,0.9953005194162751,254.32846747240382,0.6493457460829353,0.6297791683346927,1.113294322755724,1.4600036187241012,-0.8318705353076481,0.7805851013136194,0.5254824344383968,4043,0.9997526589166461,0.9291958557050464,1.7549065264313835,0.15843207572284318,3,0.0043872663160784585
2.0,0.995547860499629,265.16110283620117,0.6555443889506136,0.6360496737843,1.1144453812887367,1.4657448156357962,-0.8318705353076481,0.7880365527169149,0.5254824344383968,4043,0.9997526589166461,0.9424428025940379,1.7486220783911626,0.1578647189247525,3,0.004371555195977907
