band,total_return,cagr,volatility,sharpe,sortino,max_drawdown,calmar,win_rate,days,time_in_market,average_position,turnover_total,turnover_annual,n_position_changes,total_cost
0.21,172.79923243705414,0.5906777842604884,0.49859543953245505,1.1819081448336186,1.6080616829717016,-0.7075601183958404,0.8348093241881069,0.5252774352651048,4056,0.9997534516765286,0.8220345936229475,30.987531208824464,2.7885722118394796,117,0.07746882802206118
0.22,141.43317025927936,0.5624414934633013,0.4923608655332309,1.1542758962334252,1.558343073595532,-0.6995577442612589,0.8039958074615356,0.5252774352651048,4056,0.9997534516765286,0.7994383443768378,29.0508856308189,2.6142932088877955,108,0.07262721407704725
0.23,132.62813599633938,0.5534949523460921,0.4915081590190208,1.143696009224912,1.5479157971885311,-0.676947867274138,0.8176330543367349,0.5252774352651048,4056,0.9997534516765286,0.8012359338431523,25.77374063098076,2.3193824778865824,93,0.0644343515774519
0.24,128.81417073953037,0.5494520747675442,0.49101913782372814,1.1391334259350596,1.5422094913611084,-0.6831394156507863,0.8043044540829398,0.5250308261405672,4056,0.9997534516765286,0.8054300546931241,24.4060421179489,2.196303099864731,85,0.06101510529487225
0.25,138.94999647882386,0.559970540126641,0.4918602011777267,1.152433550885073,1.5479624874544007,-0.6925601764433207,0.8085514575822123,0.5250308261405672,4056,0.9997534516765286,0.8031775395219303,23.770672984428593,2.1391261438156897,79,0.05942668246107148
0.26,117.04972754243188,0.5362624464005861,0.4760613566712923,1.1422881685848751,1.5235156719836491,-0.6854256892985557,0.7823786805384857,0.5252774352651048,4056,0.9997534516765286,0.7588784220905459,19.831118198365353,1.784605064695107,64,0.049577795495913395
0.27,105.8755841754087,0.5225762687101627,0.4640201617384969,1.1406658488165085,1.507185008698541,-0.6553114261101634,0.7974472104234502,0.5255240443896424,4056,0.9997534516765286,0.7405919339969249,17.949802472679398,1.6153052027928947,56,0.0448745061816985
0.28,120.3539601623715,0.540083624162651,0.46260218488244126,1.1669789800825716,1.5586491972537697,-0.6569953748423826,0.8220508771347447,0.5255240443896424,4056,0.9997534516765286,0.7462451919036086,14.130240219506819,1.271582268274159,43,0.035325600548767044
0.29,106.4211787451762,0.5232741135049574,0.4744518263364049,1.1264606392341634,1.4969325725494993,-0.6824063055925051,0.7668072660181828,0.5255240443896424,4056,0.9997534516765286,0.7605228679469955,16.854807317333822,1.5167664375805832,49,0.042137018293334556
0.3,79.34097673995231,0.4839714760682843,0.47666277000209434,1.069197207724154,1.3995323332114091,-0.6824063055925049,0.7092130774613403,0.5255240443896424,4056,0.9997534516765286,0.7500952833893865,12.757932287425763,1.1480880879956616,36,0.03189483071856441
0.31,88.57322181167508,0.49856914137330377,0.4815262764460375,1.083552652594711,1.4232680815803969,-0.6824063055925049,0.7306045346993343,0.5255240443896424,4056,0.9997534516765286,0.7610724148902586,13.622026804871812,1.225848072923622,38,0.034055067012179537
0.32,100.16563345246338,0.5150717379497227,0.48434801155826457,1.1026012804888066,1.4528857945553866,-0.6887186509471768,0.7478695941243322,0.5255240443896424,4056,0.9997534516765286,0.7648367678471771,12.509562743387622,1.1257372784360165,34,0.03127390685846906
0.33,127.30540742949808,0.547822854706076,0.48732806725787914,1.142365756307248,1.518462489118572,-0.6881257410888169,0.7961086499093312,0.5255240443896424,4056,0.9997534516765286,0.768858567697761,13.537495754291932,1.218241112010985,36,0.033843739385729835
0.34,148.23808337723483,0.5690172958650426,0.49061718966704304,1.1655733265616226,1.558821798557184,-0.6893235204180828,0.8254720447083062,0.5255240443896424,4056,0.9997534516765286,0.7735223099610713,13.066110610863753,1.1758210978711217,34,0.032665276527159386
0.35,132.5892271466914,0.5534542412505477,0.5020499024003076,1.1311331701825122,1.5017037497268735,-0.7039073864698926,0.786260027794466,0.5255240443896424,4056,0.9997534516765286,0.7936469555587519,14.25180493691714,1.282521893977997,36,0.03562951234229285
0.36,108.59338469743228,0.5260208744586654,0.5131723556829626,1.0834286267167719,1.4259976444358222,-0.7277283241040138,0.7228258912504298,0.5252774352651048,4056,0.9997534516765286,0.8143481050343969,18.93216240236832,1.7037079084971491,47,0.047330406005920804
0.37,132.55530863833178,0.5534187428432049,0.4871183749424837,1.1495598856887366,1.5402952820740794,-0.7138649822805967,0.7752428772667747,0.5252774352651048,4056,0.9997534516765286,0.7859931335620703,11.412998082041426,1.027057273162012,27,0.028532495205103564
0.38,116.1521767189617,0.535207667292463,0.4911817852103988,1.1203104759624627,1.4909532492142363,-0.7244993666861472,0.7387275847327479,0.5252774352651048,4056,0.9997534516765286,0.7902822029069749,11.517143156096306,1.036429302755215,27,0.02879285789024077
0.39,110.78562421091331,0.528743188574494,0.4921769360223018,1.1104295335271122,1.4748827635115067,-0.7476390719389479,0.7072171699149388,0.5250308261405672,4056,0.9997534516765286,0.7892223557783329,11.593595224967729,1.0433092349884667,27,0.028983988062419322
0.4,125.9750875070787,0.5463717962430903,0.5106051239054489,1.1112477885178598,1.479837719479072,-0.7503429882022473,0.7281627266913585,0.5252774352651048,4056,0.9997534516765286,0.8230274918682187,11.997332661232544,1.0796416226207788,27,0.029993331653081358
0.41,95.17886634403229,0.5081953999472562,0.43197425833714015,1.1691827528442928,1.5275689919250224,-0.6414644313554481,0.7922425236788462,0.5255240443896424,4056,0.9997534516765286,0.6492936996547753,6.5871928265646895,0.5927823919369112,14,0.016467982066411726
0.42,89.12646937305718,0.4993997483574413,0.440212719571685,1.1419268389165615,1.4855448552793127,-0.6901242133916947,0.7236374824512878,0.5252774352651048,4056,0.9997534516765286,0.6476194375710819,5.603672290761834,0.5042752431282223,12,0.014009180726904586
0.43,110.13173995488363,0.5279363195550033,0.44051731284133894,1.1843561659532917,1.5609638011501688,-0.6414644313554483,0.8230172925402052,0.5255240443896424,4056,0.9997534516765286,0.6643238941827947,6.855249462818457,0.6169048456431797,14,0.01713812365704614
0.44,110.13173995488363,0.5279363195550033,0.44051731284133894,1.1843561659532917,1.5609638011501688,-0.6414644313554483,0.8230172925402052,0.5255240443896424,4056,0.9997534516765286,0.6643238941827947,6.855249462818457,0.6169048456431797,14,0.01713812365704614
0.45,92.75162771917067,0.5047302298387388,0.4543650300751155,1.1290975366898182,1.4610624087895687,-0.6414644313554483,0.7868405560261809,0.5255240443896424,4056,0.9997534516765286,0.6978238352962325,8.040042295506634,0.7235245162376532,16,0.020100105738766586
0.46,90.02194224003075,0.5007343664170592,0.46480328188094205,1.1090194038510393,1.424511023275265,-0.6725607906355444,0.7445191176605526,0.5255240443896424,4056,0.9997534516765286,0.7099476593120604,7.192652573690948,0.6472677981748511,14,0.01798163143422737
